기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	내국인	내국인	내국인
기간	자치구	동	계	남자	여자	계	남자	여자
2010	관악구	은천동	38,464	19,131	19,333	3,486	1,564	1,922
2010	관악구	성현동	35,444	17,497	17,947	3,663	1,572	2,091
2010	관악구	청룡동	34,976	17,569	17,407	3,115	1,485	1,630
2010	관악구	난곡동	32,167	16,459	15,708	3,347	1,489	1,858
2010	관악구	삼성동	30,926	15,661	15,265	3,847	1,673	2,174
2010	관악구	미성동	35,334	17,892	17,442	3,103	1,416	1,687
2010	서초구	소계	440,021	213,200	226,821	37,028	16,844	20,184
2010	서초구	서초1동	21,671	10,538	11,133	1,780	810	970
2010	서초구	서초2동	23,996	11,891	12,105	1,876	882	994
2010	서초구	서초3동	31,709	15,852	15,857	2,879	1,394	1,485
2010	서초구	서초4동	31,664	15,449	16,215	2,456	1,159	1,297
2010	서초구	잠원동	37,639	17,976	19,663	2,688	1,104	1,584
2010	서초구	반포본동	13,650	6,465	7,185	1,425	673	752
2010	서초구	반포1동	32,225	15,327	16,898	2,112	930	1,182
2010	서초구	반포2동	22,063	10,485	11,578	1,863	839	1,024
2010	서초구	반포3동	24,705	11,873	12,832	2,004	852	1,152
2010	서초구	반포4동	21,431	10,271	11,160	1,658	750	908
2010	서초구	방배본동	22,248	10,536	11,712	2,010	926	1,084
2010	서초구	방배1동	17,483	8,426	9,057	1,591	733	858
2010	서초구	방배2동	28,542	13,834	14,708	2,624	1,213	1,411
2010	서초구	방배3동	26,770	13,099	13,671	2,440	1,117	1,323
2010	서초구	방배4동	26,859	12,610	14,249	2,312	1,098	1,214
2010	서초구	양재1동	26,834	12,960	13,874	2,610	1,124	1,486
2010	서초구	양재2동	24,082	12,186	11,896	1,773	800	973
2010	서초구	내곡동	6,450	3,422	3,028	927	440	487
